mean_travel_time_s,p95_travel_time_s,throughput_veh_per_s,avg_queue_veh,max_queue_veh,spawned,exited,blocked_entries,lambda,controller,seed
135.23364,197.0,1.177917,2.347037,11.0,4235.0,2827.0,34.0,0.05,actuated,0
134.228417,198.0,1.192083,2.331354,10.0,4328.0,2861.0,31.0,0.05,actuated,1
133.503588,197.5,1.16125,2.232037,11.0,4227.0,2787.0,36.0,0.05,actuated,2
134.427408,199.5,1.176667,2.33077,12.0,4269.0,2824.0,23.0,0.05,actuated,3
132.996523,195.5,1.198333,2.305596,11.0,4343.0,2876.0,28.0,0.05,actuated,4
132.215523,180.0,1.178333,2.308611,11.0,4273.0,2828.0,27.0,0.05,fixed,0
131.254882,176.5,1.21625,2.343709,13.0,4332.0,2919.0,28.0,0.05,fixed,1
131.260138,177.0,1.150833,2.221574,10.0,4213.0,2762.0,34.0,0.05,fixed,2
132.440204,181.0,1.14625,2.251331,11.0,4143.0,2751.0,28.0,0.05,fixed,3
131.68237,178.0,1.1675,2.255382,12.0,4255.0,2802.0,32.0,0.05,fixed,4
86.262904,112.5,1.210833,0.848877,7.0,4316.0,2906.0,30.0,0.05,max_pressure,0
86.321528,113.0,1.194167,0.841221,6.0,4318.0,2866.0,29.0,0.05,max_pressure,1
85.731925,112.5,1.192917,0.823108,6.0,4252.0,2863.0,35.0,0.05,max_pressure,2
85.703892,113.0,1.145417,0.794728,7.0,4187.0,2749.0,28.0,0.05,max_pressure,3
86.057261,113.0,1.207917,0.843953,7.0,4340.0,2899.0,36.0,0.05,max_pressure,4
124.395122,176.5,2.4175,3.88397,14.0,8640.0,5802.0,134.0,0.1,actuated,0
124.463524,181.5,2.324583,3.746782,13.0,8448.0,5579.0,124.0,0.1,actuated,1
123.787669,177.5,2.375417,3.779149,14.0,8521.0,5701.0,139.0,0.1,actuated,2
125.142997,181.0,2.335417,3.792986,14.0,8504.0,5605.0,175.0,0.1,actuated,3
124.10197,178.0,2.410833,3.834676,13.0,8651.0,5786.0,149.0,0.1,actuated,4
139.504041,189.5,2.371667,4.932795,15.0,8605.0,5692.0,122.0,0.1,fixed,0
139.381673,191.5,2.341667,4.847569,16.0,8497.0,5620.0,143.0,0.1,fixed,1
139.320992,191.5,2.352083,4.88456,15.0,8538.0,5645.0,143.0,0.1,fixed,2
139.807912,192.5,2.338333,4.872315,15.0,8379.0,5612.0,119.0,0.1,fixed,3
139.218722,188.0,2.34125,4.877523,15.0,8558.0,5619.0,122.0,0.1,fixed,4
89.601677,117.5,2.335833,1.8186,9.0,8401.0,5606.0,146.0,0.1,max_pressure,0
89.748339,117.0,2.383333,1.870052,9.0,8667.0,5720.0,152.0,0.1,max_pressure,1
89.6989,117.0,2.348333,1.846186,10.0,8480.0,5636.0,132.0,0.1,max_pressure,2
89.738588,118.0,2.336667,1.827367,9.0,8461.0,5608.0,163.0,0.1,max_pressure,3
89.497618,116.5,2.36125,1.835741,8.0,8479.0,5667.0,161.0,0.1,max_pressure,4
115.919832,160.0,3.52125,4.69849,15.0,12729.0,8451.0,411.0,0.15,actuated,0
115.594162,159.0,3.54,4.713397,15.0,12701.0,8496.0,351.0,0.15,actuated,1
116.164849,159.5,3.515833,4.719456,15.0,12639.0,8438.0,337.0,0.15,actuated,2
117.116799,161.5,3.455,4.701481,15.0,12530.0,8292.0,359.0,0.15,actuated,3
117.239755,163.0,3.507917,4.729699,15.0,12574.0,8419.0,347.0,0.15,actuated,4
147.754764,202.5,3.47625,7.420972,16.0,12581.0,8343.0,390.0,0.15,fixed,0
147.663789,202.5,3.523333,7.523727,16.0,12708.0,8456.0,352.0,0.15,fixed,1
148.487219,202.5,3.520833,7.57963,16.0,12626.0,8450.0,370.0,0.15,fixed,2
147.942317,202.0,3.46,7.418241,16.0,12506.0,8304.0,328.0,0.15,fixed,3
148.408217,202.5,3.534167,7.591157,16.0,12725.0,8482.0,378.0,0.15,fixed,4
92.980334,121.0,3.517083,2.983588,12.0,12609.0,8441.0,367.0,0.15,max_pressure,0
93.192086,122.0,3.537917,3.004601,11.0,12690.0,8491.0,356.0,0.15,max_pressure,1
92.684598,121.0,3.454583,2.907043,11.0,12476.0,8291.0,374.0,0.15,max_pressure,2
92.726634,121.5,3.499583,2.937483,11.0,12508.0,8399.0,349.0,0.15,max_pressure,3
93.383636,122.5,3.51625,2.990029,12.0,12635.0,8439.0,358.0,0.15,max_pressure,4
110.384243,150.0,4.564167,5.31147,15.0,16468.0,10954.0,717.0,0.2,actuated,0
110.074503,149.5,4.63625,5.307911,16.0,16600.0,11127.0,652.0,0.2,actuated,1
108.697514,149.0,4.675833,5.213872,15.0,16680.0,11222.0,666.0,0.2,actuated,2
107.518909,146.0,4.539167,4.985046,15.0,16373.0,10894.0,666.0,0.2,actuated,3
109.104174,148.0,4.611667,5.189456,17.0,16578.0,11068.0,698.0,0.2,actuated,4
157.495058,213.0,4.595,9.752882,17.0,16476.0,11028.0,691.0,0.2,fixed,0
156.815995,213.5,4.545833,9.715885,18.0,16521.0,10910.0,664.0,0.2,fixed,1
157.524724,214.0,4.676667,9.931418,17.0,16815.0,11224.0,673.0,0.2,fixed,2
156.575755,211.5,4.567917,9.733484,18.0,16440.0,10963.0,664.0,0.2,fixed,3
157.881607,215.0,4.650833,9.867488,19.0,16642.0,11162.0,686.0,0.2,fixed,4
95.905365,125.0,4.559167,4.131111,13.0,16390.0,10942.0,654.0,0.2,max_pressure,0
96.251963,126.0,4.617083,4.189549,13.0,16665.0,11081.0,664.0,0.2,max_pressure,1
96.169676,125.5,4.660833,4.227436,14.0,16727.0,11186.0,688.0,0.2,max_pressure,2
96.139402,125.5,4.650833,4.24706,13.0,16683.0,11162.0,731.0,0.2,max_pressure,3
96.013359,125.5,4.585,4.138588,13.0,16552.0,11004.0,704.0,0.2,max_pressure,4
111.091875,152.0,5.687083,6.376672,17.0,20454.0,13649.0,1210.0,0.25,actuated,0
109.278552,148.0,5.73875,6.198681,16.0,20531.0,13773.0,1245.0,0.25,actuated,1
109.16933,149.0,5.6325,6.114601,17.0,20378.0,13518.0,1220.0,0.25,actuated,2
110.614744,151.5,5.728333,6.3189,17.0,20574.0,13748.0,1147.0,0.25,actuated,3
107.918821,146.5,5.625417,5.976082,16.0,20276.0,13501.0,1204.0,0.25,actuated,4
172.55639,232.5,5.715417,11.906794,19.0,20531.0,13717.0,1269.0,0.25,fixed,0
171.559727,229.5,5.682083,11.859549,19.0,20458.0,13637.0,1250.0,0.25,fixed,1
169.597024,228.5,5.6,11.656644,20.0,20213.0,13440.0,1173.0,0.25,fixed,2
171.140884,229.0,5.65625,11.828015,19.0,20385.0,13575.0,1211.0,0.25,fixed,3
170.1793,228.0,5.595833,11.7675,18.0,20211.0,13430.0,1160.0,0.25,fixed,4
100.322172,131.5,5.643333,5.557564,15.0,20358.0,13544.0,1143.0,0.25,max_pressure,0
99.653715,129.5,5.619167,5.484844,15.0,20411.0,13486.0,1212.0,0.25,max_pressure,1
100.120914,131.0,5.66,5.568756,15.0,20257.0,13584.0,1178.0,0.25,max_pressure,2
100.550922,132.0,5.674583,5.638391,16.0,20444.0,13619.0,1166.0,0.25,max_pressure,3
100.155466,131.0,5.72875,5.630862,16.0,20568.0,13749.0,1198.0,0.25,max_pressure,4
133.492332,183.0,6.765417,9.44151,19.0,24282.0,16237.0,2013.0,0.3,actuated,0
128.87869,177.5,6.620417,8.962691,18.0,23720.0,15889.0,1865.0,0.3,actuated,1
130.15684,179.5,6.664167,9.195347,19.0,24029.0,15994.0,1855.0,0.3,actuated,2
130.523325,181.5,6.63625,9.090712,19.0,23985.0,15927.0,1804.0,0.3,actuated,3
130.039797,179.0,6.695417,9.124387,19.0,24075.0,16069.0,1875.0,0.3,actuated,4
208.17616,280.5,6.393333,13.690978,20.0,23175.0,15344.0,2723.0,0.3,fixed,0
204.849504,276.0,6.424583,13.672309,20.0,23183.0,15419.0,2719.0,0.3,fixed,1
209.11676,280.5,6.45375,13.839601,20.0,23360.0,15489.0,2620.0,0.3,fixed,2
207.242812,280.0,6.405,13.737373,20.0,23250.0,15372.0,2628.0,0.3,fixed,3
212.471771,283.0,6.435417,13.902963,20.0,23307.0,15445.0,2881.0,0.3,fixed,4
106.804514,140.5,6.775833,7.40765,18.0,24371.0,16262.0,1865.0,0.3,max_pressure,0
106.218265,139.5,6.679583,7.239381,17.0,24058.0,16031.0,1889.0,0.3,max_pressure,1
107.289396,141.0,6.758333,7.444757,17.0,24321.0,16220.0,1827.0,0.3,max_pressure,2
106.425828,140.0,6.64,7.175179,17.0,23875.0,15936.0,1691.0,0.3,max_pressure,3
106.088314,139.0,6.67125,7.199861,17.0,23953.0,16011.0,1797.0,0.3,max_pressure,4
190.040552,259.0,7.24375,12.913953,20.0,26250.0,17385.0,4100.0,0.35,actuated,0
204.811772,286.0,7.011667,13.14599,20.0,25661.0,16828.0,4303.0,0.35,actuated,1
195.810487,272.0,7.1675,12.971655,20.0,26099.0,17202.0,4427.0,0.35,actuated,2
193.409382,265.5,7.097083,12.876169,20.0,26038.0,17033.0,4188.0,0.35,actuated,3
186.352313,255.5,7.215417,12.717766,20.0,26213.0,17317.0,4006.0,0.35,actuated,4
234.110244,309.0,6.4875,14.439954,20.0,23658.0,15570.0,6585.0,0.35,fixed,0
233.952004,311.0,6.454583,14.431181,20.0,23680.0,15491.0,6677.0,0.35,fixed,1
235.13397,313.5,6.497083,14.448299,20.0,23743.0,15593.0,6763.0,0.35,fixed,2
233.164,308.5,6.48375,14.428449,20.0,23742.0,15561.0,6653.0,0.35,fixed,3
234.762063,311.0,6.467917,14.445237,20.0,23650.0,15523.0,6468.0,0.35,fixed,4
120.976989,163.5,7.686667,9.592818,19.0,27666.0,18448.0,2710.0,0.35,max_pressure,0
125.274691,174.0,7.71625,9.912454,19.0,27616.0,18519.0,2553.0,0.35,max_pressure,1
120.648608,167.0,7.587083,9.41397,18.0,27402.0,18209.0,2685.0,0.35,max_pressure,2
121.689606,166.5,7.62875,9.583681,18.0,27520.0,18309.0,2830.0,0.35,max_pressure,3
121.155739,164.0,7.619583,9.549803,18.0,27437.0,18287.0,2589.0,0.35,max_pressure,4
210.023121,285.0,7.064167,13.276661,20.0,25836.0,16954.0,8671.0,0.4,actuated,0
213.587736,290.5,7.05,13.343183,20.0,25940.0,16920.0,8730.0,0.4,actuated,1
212.878091,292.5,7.06125,13.380966,20.0,26000.0,16947.0,8674.0,0.4,actuated,2
213.769853,290.5,7.03625,13.425313,20.0,25777.0,16887.0,8874.0,0.4,actuated,3
211.816798,288.5,7.11875,13.380087,20.0,26040.0,17085.0,8468.0,0.4,actuated,4
238.949939,313.5,6.49625,14.50048,20.0,23747.0,15591.0,10582.0,0.4,fixed,0
242.612509,321.5,6.45875,14.564572,20.0,23747.0,15501.0,11050.0,0.4,fixed,1
239.200058,315.5,6.472083,14.512222,20.0,23776.0,15533.0,10671.0,0.4,fixed,2
239.708909,317.0,6.482083,14.525689,20.0,23792.0,15557.0,10862.0,0.4,fixed,3
239.692092,318.0,6.459583,14.508987,20.0,23710.0,15503.0,10816.0,0.4,fixed,4
173.009885,232.0,8.19875,12.828223,20.0,29852.0,19677.0,4775.0,0.4,max_pressure,0
173.140723,230.5,8.215,12.849884,20.0,29755.0,19716.0,4722.0,0.4,max_pressure,1
174.155871,232.5,8.22125,12.854855,20.0,29857.0,19731.0,4890.0,0.4,max_pressure,2
170.175548,227.5,8.179167,12.733727,20.0,29744.0,19630.0,4744.0,0.4,max_pressure,3
172.271548,231.0,8.16,12.817564,20.0,29786.0,19584.0,4664.0,0.4,max_pressure,4
