lambda,controller,mean_tt_mean,mean_tt_std,p95_tt_mean,throughput_mean,avg_queue_mean,max_queue_mean,blocked_entries_mean
0.05,actuated,134.0779152,0.8630985814596781,197.5,1.18125,2.3093588,11.0,30.4
0.05,fixed,131.7706234,0.5432879144328495,178.5,1.1718332,2.2761214,11.4,29.8
0.05,max_pressure,86.015502,0.2890156498314558,112.8,1.1902502,0.8303774,6.6,31.6
0.1,actuated,124.37825640000001,0.5043587139192711,178.9,2.37275,3.8075126,13.6,144.2
0.1,fixed,139.446668,0.22680777906742283,190.6,2.349,4.8829524,15.2,129.8
0.1,max_pressure,89.6570244,0.10632294900584616,117.2,2.3530832,1.8395892,9.0,150.8
0.15,actuated,116.4070794,0.7338206286575019,160.6,3.508,4.7125046,15.0,361.0
0.15,fixed,148.0512612,0.3766267318675089,202.4,3.5029166000000003,7.5067454,16.0,363.6
0.15,max_pressure,92.9934576,0.29935503170115474,121.6,3.5050832,2.9645488,11.4,360.8
0.2,actuated,109.1558686,1.1451190801049085,148.5,4.6054168,5.201551,15.6,679.8
0.2,fixed,157.2586278,0.542459345798105,213.4,4.60725,9.8002314,17.8,675.6
0.2,max_pressure,96.095953,0.13675486372520665,125.5,4.6145832,4.1867488,13.2,688.2
0.25,actuated,109.6146644,1.2618923759248653,149.4,5.6824166,6.196987200000001,16.6,1205.2
0.25,fixed,171.006665,1.1615894803604307,229.5,5.6499166,11.8037004,19.0,1212.6
0.25,max_pressure,100.16063779999999,0.3305262877218637,131.0,5.6651666,5.5760834,15.4,1179.4
0.3,actuated,130.6181968,1.720678219417195,180.1,6.6763335999999995,9.1629294,18.8,1882.4
0.3,fixed,208.37140140000002,2.7876596292136884,280.0,6.4224166,13.768644799999999,20.0,2714.2
0.3,max_pressure,106.5652634,0.4870676858813345,140.0,6.7049998,7.2933656,17.2,1813.8
0.35,actuated,194.0849012,6.975840637961539,267.6,7.1470834,12.925106600000001,20.0,4204.8
0.35,fixed,234.2244562,0.7629020913310013,310.6,6.4781666,14.438624,20.0,6629.2
0.35,max_pressure,121.9491266,1.8968785903745429,167.0,7.647666599999999,9.6105452,18.4,2673.4
0.4,actuated,212.4151198,1.5414538886446507,289.4,7.066083399999999,13.361241999999999,20.0,8683.4
0.4,fixed,240.0327014,1.4783380010252338,317.1,6.4737498,14.522389999999998,20.0,10796.2
0.4,max_pressure,172.550715,1.4878528829388713,230.7,8.1948334,12.8168506,20.0,4759.0
0.45,actuated,216.34950439999997,2.2995188541365104,291.9,7.0783334,13.3975382,20.0,13073.8
0.45,fixed,242.66056319999998,1.6625496820174093,320.5,6.4725834,14.526897199999999,20.0,15067.6
0.45,max_pressure,189.3706936,0.1877630666872425,248.1,8.1971666,13.3692466,20.0,8831.8
0.5,actuated,217.6671458,2.040954221709454,291.1,7.0944166,13.417721199999999,20.0,17267.6
0.5,fixed,244.74576240000002,1.1749925039515356,324.5,6.452,14.5244964,20.0,19359.8
0.5,max_pressure,192.0477126,1.0272998571942316,250.0,8.2035,13.375811199999998,20.0,12997.6
