intersection_id,i,j,avg_queue,max_queue
0,0,0,2.731875,9.000000
1,0,1,2.715833,9.000000
2,0,2,2.846250,9.000000
3,0,3,2.932292,9.000000
4,0,4,2.925208,8.000000
5,0,5,2.699792,8.000000
6,1,0,2.899167,10.000000
7,1,1,2.987708,9.000000
8,1,2,2.911875,9.000000
9,1,3,3.183333,10.000000
10,1,4,3.042292,9.000000
11,1,5,2.665208,10.000000
12,2,0,2.783750,9.000000
13,2,1,2.882917,8.000000
14,2,2,2.945417,9.000000
15,2,3,3.101458,10.000000
16,2,4,3.071875,9.000000
17,2,5,2.714792,9.000000
18,3,0,2.940625,11.000000
19,3,1,2.999792,8.000000
20,3,2,2.952500,9.000000
21,3,3,3.093750,9.000000
22,3,4,3.054583,10.000000
23,3,5,2.759375,9.000000
24,4,0,2.952708,10.000000
25,4,1,3.053542,10.000000
26,4,2,3.073958,9.000000
27,4,3,3.246458,10.000000
28,4,4,3.110625,9.000000
29,4,5,2.738750,10.000000
30,5,0,2.706250,9.000000
31,5,1,2.728750,8.000000
32,5,2,2.841667,9.000000
33,5,3,2.886042,11.000000
34,5,4,2.908125,10.000000
35,5,5,2.565000,8.000000
