intersection_id,i,j,avg_queue,max_queue
0,0,0,7.618125,15.000000
1,0,1,8.852500,17.000000
2,0,2,8.810000,17.000000
3,0,3,8.737083,17.000000
4,0,4,9.161250,16.000000
5,0,5,7.987917,19.000000
6,1,0,8.320625,16.000000
7,1,1,10.360417,17.000000
8,1,2,10.635208,19.000000
9,1,3,10.218750,17.000000
10,1,4,10.931667,18.000000
11,1,5,8.680000,17.000000
12,2,0,8.240625,15.000000
13,2,1,9.826875,17.000000
14,2,2,9.533125,18.000000
15,2,3,9.852917,19.000000
16,2,4,10.533750,18.000000
17,2,5,8.464167,16.000000
18,3,0,8.337083,16.000000
19,3,1,10.088542,17.000000
20,3,2,8.858333,19.000000
21,3,3,9.451667,17.000000
22,3,4,9.951875,18.000000
23,3,5,8.395625,16.000000
24,4,0,8.792292,16.000000
25,4,1,10.504375,17.000000
26,4,2,9.737500,17.000000
27,4,3,8.952292,16.000000
28,4,4,10.507708,18.000000
29,4,5,8.847708,16.000000
30,5,0,8.033542,15.000000
31,5,1,8.596458,16.000000
32,5,2,8.333958,17.000000
33,5,3,7.357708,15.000000
34,5,4,8.027083,16.000000
35,5,5,7.726875,16.000000
