intersection_id,i,j,avg_queue,max_queue
0,0,0,14.231875,20.000000
1,0,1,14.396875,20.000000
2,0,2,14.384375,19.000000
3,0,3,14.493333,19.000000
4,0,4,14.478125,19.000000
5,0,5,14.266875,20.000000
6,1,0,14.294583,20.000000
7,1,1,14.647917,20.000000
8,1,2,14.668333,20.000000
9,1,3,14.732292,20.000000
10,1,4,14.557292,20.000000
11,1,5,14.700208,19.000000
12,2,0,14.178750,19.000000
13,2,1,14.596667,19.000000
14,2,2,14.517917,20.000000
15,2,3,14.495208,20.000000
16,2,4,14.555833,19.000000
17,2,5,14.511042,20.000000
18,3,0,14.237500,18.000000
19,3,1,14.695417,19.000000
20,3,2,14.323125,19.000000
21,3,3,14.166875,18.000000
22,3,4,14.474167,20.000000
23,3,5,14.191458,20.000000
24,4,0,14.407292,19.000000
25,4,1,14.554167,20.000000
26,4,2,14.389583,19.000000
27,4,3,14.602292,20.000000
28,4,4,14.505625,20.000000
29,4,5,14.676250,20.000000
30,5,0,14.110625,20.000000
31,5,1,14.314583,19.000000
32,5,2,14.333333,20.000000
33,5,3,14.335000,18.000000
34,5,4,14.047292,19.000000
35,5,5,14.450417,20.000000
