intersection_id,i,j,avg_queue,max_queue
0,0,0,10.812500,17.000000
1,0,1,11.321667,17.000000
2,0,2,11.561458,17.000000
3,0,3,11.409375,17.000000
4,0,4,11.520208,17.000000
5,0,5,11.011667,17.000000
6,1,0,11.462083,17.000000
7,1,1,11.885625,17.000000
8,1,2,12.309792,17.000000
9,1,3,12.531667,18.000000
10,1,4,12.308542,18.000000
11,1,5,11.846667,17.000000
12,2,0,11.377917,17.000000
13,2,1,12.146250,18.000000
14,2,2,12.393125,18.000000
15,2,3,12.134375,17.000000
16,2,4,12.333125,18.000000
17,2,5,11.161875,17.000000
18,3,0,11.599167,18.000000
19,3,1,12.307292,18.000000
20,3,2,12.704375,17.000000
21,3,3,12.494375,17.000000
22,3,4,12.513750,17.000000
23,3,5,11.659792,17.000000
24,4,0,11.357083,18.000000
25,4,1,12.233750,18.000000
26,4,2,12.436250,17.000000
27,4,3,12.291875,18.000000
28,4,4,12.338542,18.000000
29,4,5,11.479792,18.000000
30,5,0,10.494375,17.000000
31,5,1,11.296042,17.000000
32,5,2,11.843333,18.000000
33,5,3,11.519167,17.000000
34,5,4,11.383333,17.000000
35,5,5,10.719375,16.000000
